[№],any_data,correct_first_symbol,correct_symbols,no_double_dot,no_eight_symbols_without_letter,correct_last_symbol,correct_amount_symbols,result,[blocked],[reason]
0,True,True,True,True,True,True,True,Успех,False,
1,True,True,True,True,True,True,True,Нет данных,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
2,True,True,True,True,True,True,True,Недопустимый первый символ,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
3,True,True,True,True,True,True,True,Недопустимые символы,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
4,True,True,True,True,True,True,True,Есть 2 точки подряд,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
5,True,True,True,True,True,True,True,8+ допустимых символов без букв,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
6,True,True,True,True,True,True,True,Недопустимый последний символ,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
7,True,True,True,True,True,True,True,Недопустимое количество символов,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
8,True,True,True,True,True,True,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
9,True,True,True,True,True,True,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
10,True,True,True,True,True,True,False,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
11,True,True,True,True,True,True,False,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
12,True,True,True,True,True,True,False,Есть 2 точки подряд,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
13,True,True,True,True,True,True,False,8+ допустимых символов без букв,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
14,True,True,True,True,True,True,False,Недопустимый последний символ,True,"Если последний символ некорректный, то ошибка последнего символа, дальше не проверяем

"
15,True,True,True,True,True,True,False,Недопустимое количество символов,False,
16,True,True,True,True,True,False,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
17,True,True,True,True,True,False,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
18,True,True,True,True,True,False,True,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
19,True,True,True,True,True,False,True,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
20,True,True,True,True,True,False,True,Есть 2 точки подряд,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
21,True,True,True,True,True,False,True,8+ допустимых символов без букв,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
22,True,True,True,True,True,False,True,Недопустимый последний символ,False,
23,True,True,True,True,True,False,True,Недопустимое количество символов,True,"Если последний символ некорректный, то ошибка последнего символа, дальше не проверяем

"
24,True,True,True,True,True,False,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
25,True,True,True,True,True,False,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
26,True,True,True,True,True,False,False,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
27,True,True,True,True,True,False,False,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
28,True,True,True,True,True,False,False,Есть 2 точки подряд,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
29,True,True,True,True,True,False,False,8+ допустимых символов без букв,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
30,True,True,True,True,True,False,False,Недопустимый последний символ,True,"Если недопустимое количество символов, то ошибка количества символов

"
31,True,True,True,True,True,False,False,Недопустимое количество символов,True,"Если последний символ некорректный, то ошибка последнего символа, дальше не проверяем

"
32,True,True,True,True,False,True,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
33,True,True,True,True,False,True,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
34,True,True,True,True,False,True,True,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
35,True,True,True,True,False,True,True,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
